station_id;place_name;address;city;country;type;latitude;longitude;weights
3001;The Colosseum;Piazza del Colosseo, 1, 00184 Roma RM;Rome;Italy;Building;41.890542;12.492317;3.0
3004;Altare della patria;Piazza di S. Marco, 4289, 00186 Roma RM;Rome;Italy;Building;41.894576;12.483123;2.0
3006;Arch of Constantine;Via di San Gregorio, 00186 Roma RM;Rome;Italy;Building;41.889737;12.490887;2.0
3046;Villa Pamphilj;Via Aurelia Antica, 12, 00164 Roma RM;Rome;Italy;Park;41.888992;12.444942;0.7
3101;Manzoni Station;Viale Manzoni, 10, 00185 Roma RM;Rome;Italy;Subway station;41.8902811;12.5062056;1.5
3102;Via di San Gregorio;Via di San Gregorio, 00186 Roma RM;Rome;Italy;Bus Stop;41.8874847;12.4899609;2.0
3103;Via dei Fori Imperiali;Via dei Fori Imperiali, 00186 Roma RM;Rome;Italy;Bus Stop;41.8937258;12.4863876;2.5
3104;Via del Corso;Via del Corso, 304, 00187 Roma RM;Rome;Italy;Bus Stop;41.8977298;12.4816203;2.0
3105;Via della Conciliazione;Via della Conciliazione, 00193 Roma;Rome;Italy;Square;41.9024058;12.4617231;3.0
3106;Via Piave;Via Piave, 00198 Roma RM;Rome;Italy;Bus Stop;41.9108332;12.4980548;1.0
3107;Viale Scalo San Lorenzo;Viale Scalo San Lorenzo, 80, 00185 Roma RM;Rome;Italy;Bus Stop;41.8964863;12.5192075;0.9
3108;San Giovanni Station;Via Giulio Romano, 23, 00196 Roma RM;Rome;Italy;Subway station;41.8852018;12.5093327;2.0
3109;Re di roma Station;Re di roma, 00183 Roma RM;Rome;Italy;Subway station;41.8821773;12.513553;1.0
3110;Pigneto Station;Pigneto, 00176 Roma;Rome;Italy;Subway station;41.8885494;12.5277418;2.0
3111;Ponte lungo Station;Ponte lungo, 00183 Rome RM;Rome;Italy;Subway station;41.8779634;12.519069;0.9
3112;Furio camillo Station;Furio camillo,00179 Roma;Rome;Italy;Subway station;41.8747215;12.5224101;0.9
3113;Colli albani Station;Colli albani,00179 Roma;Rome;Italy;Subway station;41.8696787;12.529849;0.9
3114;Arco di travertino Station;Arco di travertino,00179 Roma;Rome;Italy;Subway station;41.8666474;12.5347364;0.9
3115;Porta furba Station;Via Gaio Melisso, 26, 00175 Roma RM;Rome;Italy;Subway station;41.8635881;12.5479297;0.8
3116;Numidio quadrato Station;Numidio quadrato,00175 Roma;Rome;Italy;Subway station;41.8619434;12.5523049;0.8
3117;Lucio sestio Station;Lucio sestio,00174 Roma;Rome;Italy;Subway station;41.8600025;12.5569811;0.7
3118;Giulio agricola Station;Giulio agricola,00174 Roma;Rome;Italy;Subway station;41.8568943;12.562437;0.7
3119;Subaugusta Station;Subaugusta,00175 Rome;Rome;Italy;Subway station;41.8540204;12.5677414;0.6
3120;Cinecittà Station;Cinecittà,00174 Roma;Rome;Italy;Subway station;41.8495932;12.5741186;1.5
3121;Anagnina Station;Anagnina,00173 Roma;Rome;Italy;Subway station;41.8425332;12.5861039;1.5
3122;Alessandrino Station;Alessandrino,00169 Roma;Rome;Italy;Subway station;41.8714192;12.5781032;0.7
3123;Parco di Centocelle Station;Via Casilina, 895, 00172 Roma RM;Rome;Italy;Subway station;41.8744427;12.5678089;0.6
3124;Mirti Station;Mirti,00172 Rome;Rome;Italy;Subway station;41.8812265;12.566437;0.7
3125;Gardenie Station;Gardenie,00172 Roma;Rome;Italy;Subway station;41.8862994;12.5613762;0.7
